110181;Vanna Dentamaro;0;Pavoni Reali;Oro e Viola;Ali Reali
110182;Guido Quintino Causin;0;Serpenti Dorati;Oro e Rosso;Serpenti Dorati
110183;Lido Corti;0;Scorpioni Rossi;Giallo e Verde;Scorpioni d'Acciaio
110184;Patty Pionati;0;Gatti Neri;Nero e Viola;
110185;Valentino Spinello;0;Coccodrilli Verdi;Verde e Marrone;Coccodrilli d'Acciaio
110186;Gianvittore Polidoro;0;Gufi Notturni;Viola e Grigio;Occhi nella Notte
110187;Michele Arcangelo Nugnes;0;Camaleonti Arcobaleno;Blu e Verde;Camaleonti Magici
110188;Bruno Favero;0;Camaleonti Arcobaleno;Blu e Verde;Camaleonti Magici
110189;Carlo Scarpinato;0;Lupi del Nord;Bianco e Grigio;Ululati del Nord
110190;Mino Semenzato;0;Falchi Grigi;Grigio e Nero;Falchi del Vento
110191;Dieter Paganella;0;Serpenti Dorati;Oro e Rosso;Serpenti Dorati
110192;Jonny Marinaro;0;Coccodrilli Verdi;Verde e Marrone;Coccodrilli d'Acciaio
110193;Anna Di Lello Finuoli;0;Cavalli Selvaggi;Rosso e Argento;Cavalieri Selvaggi
110194;Fulvia Michela Avogadro;0;Gatti Neri;Nero e Viola;
110195;Adelaide Di Giacomo;0;Serpenti Dorati;Oro e Rosso;Serpenti Dorati
110196;Vito Claudio Silvestri;0;Scorpioni Rossi;Giallo e Verde;Scorpioni d'Acciaio
110197;Francesco Maria Valpiana;0;Leoni Dorati;Giallo e Nero;Leoni Ruggenti
110198;Edoardo Tiraboschi;0;Pantere Rosa;Rosa e Grigio;Pantere Fiere
110199;Agnese Piredda;0;Aquile Reali;Blu e Oro;Reali del Cielo
110200;Giuseppina Scopelliti;0;Tigri Nere;Nero e Arancione;Tigri Infuocate
110201;Mariano La Mura;0;Rinoceronti Blu;Verde e Argento;Rino Blu
110202;Alessia Bo;0;Camaleonti Arcobaleno;Blu e Verde;Camaleonti Magici
110203;Orietta Bilotti;0;Cavalieri d'Argento;Argento e Blu;
110204;Peppe Messina;0;Falchi Grigi;Grigio e Nero;Falchi del Vento
110205;Felice Carlo Salvitti;0;Leoni Dorati;Giallo e Nero;Leoni Ruggenti
110206;Gianvittore Firrarello;0;Fulmini Verdi;Verde e Giallo;Lampi Verdi
110207;Urania Giulia Rosina Turroni;0;Corvi della Tempesta;Grigio e Blu;Tempesta Oscura
110208;Luigi Napoli;0;Corvi della Tempesta;Grigio e Blu;Tempesta Oscura
110209;Lucrezia Gaggio Giuliani;0;Coccodrilli Verdi;Verde e Marrone;Coccodrilli d'Acciaio
110210;Lorenzo Emilio Brisca Menapace;0;Pantere Rosa;Rosa e Grigio;Pantere Fiere
110211;Emanuele Passoni;0;Serpenti Dorati;Oro e Rosso;Serpenti Dorati
110212;Demetrio Zappacosta;0;Elefanti Grigi;Nero e Bianco;Elefanti Titanici
110213;Leonzio Sironi;0;Cavalli Selvaggi;Rosso e Argento;Cavalieri Selvaggi
110214;Rina Cortelloni;0;Coccodrilli Verdi;Verde e Marrone;Coccodrilli d'Acciaio
110215;Donato Tommaso Verducci;0;Cinghiali Selvaggi;Marrone e Verde;Cinghiali Ruggenti
110216;Cinzia Maria Granato;0;Pinguini Polari;Bianco e Nero;
110217;Meinhard Colla;0;Lupi del Nord;Bianco e Grigio;Ululati del Nord
110218;Lavinia Versace;0;Zebre Striate;Bianco e Rosso;Zebre Elettriche
110219;Mario Alejandro Pollastri;0;Squali Azzurri;Azzurro e Bianco;Predatori del Mare
110220;Elvio Rebuzzi;0;Ippopotami Viola;Viola e Oro;
110221;Erica Cantu';0;Serpenti Dorati;Oro e Rosso;Serpenti Dorati
110222;Arnaldo Santillo;0;Elefanti Grigi;Nero e Bianco;Elefanti Titanici
110223;Diana Storace;0;Aquile Reali;Blu e Oro;Reali del Cielo
110224;Angela Anna Bruna Labellarte;0;Cinghiali Selvaggi;Marrone e Verde;Cinghiali Ruggenti
110225;Rossella Mascitelli;0;Cinghiali Selvaggi;Marrone e Verde;Cinghiali Ruggenti
110226;Severino Petrocelli;0;Ippopotami Viola;Viola e Oro;
110227;Domenica Tredese;0;Cavalli Selvaggi;Rosso e Argento;Cavalieri Selvaggi
110228;Tony Chike Bertorotta;0;Orsi Polari;Bianco e Blu;
110229;Santo De Siano;0;Cavalieri d'Argento;Argento e Blu;
110230;Gianmarco Morri;0;Zebre Striate;Bianco e Rosso;Zebre Elettriche
110231;Michelina Bedin;0;Gufi Notturni;Viola e Grigio;Occhi nella Notte
110232;Daisy Sodano;0;Squali Azzurri;Azzurro e Bianco;Predatori del Mare
110233;Mauro Maria Adamo;0;Coccodrilli Verdi;Verde e Marrone;Coccodrilli d'Acciaio
110234;Stefania Gabriella Anastasia Montagna;0;Lupi del Nord;Bianco e Grigio;Ululati del Nord
110235;Simona Flavia Scurria;0;Falchi Grigi;Grigio e Nero;Falchi del Vento
110236;Felice Carlo Dolazza;0;Aquile Blu;Blu e Bianco;Aquile Volanti
110237;Nicodemo Francesco Bellini;0;Rinoceronti Blu;Verde e Argento;Rino Blu
110238;Emanuele Minasi;0;Coccodrilli Verdi;Verde e Marrone;Coccodrilli d'Acciaio
110239;Altero Michelini;0;Rinoceronti Blu;Verde e Argento;Rino Blu
110240;Patty Larizza;0;Ippopotami Viola;Viola e Oro;
110241;Mariarosaria Galan;0;Cinghiali Selvaggi;Marrone e Verde;Cinghiali Ruggenti
110242;Alberto Adalgisio Mirabelli;0;Fulmini Verdi;Verde e Giallo;Lampi Verdi
110243;Dolores Wilde;0;Dragoni Rossi;Rosso e Nero;Fiamme Rosse
110244;Giorgio Misserville;0;Cavalieri d'Argento;Argento e Blu;
110245;Massimiliano Spilabotte;0;Falchi Grigi;Grigio e Nero;Falchi del Vento
110246;Ombretta Maria Serena;0;Gufi Notturni;Viola e Grigio;Occhi nella Notte
110247;Gian Piero Verducci;0;Falchi Grigi;Grigio e Nero;Falchi del Vento
110248;Mariapia Fazzone;0;Cavalieri d'Argento;Argento e Blu;
110249;Patty Migliavacca;0;Elefanti Grigi;Nero e Bianco;Elefanti Titanici
110250;Alessandra Polito;0;Falchi Grigi;Grigio e Nero;Falchi del Vento
110251;Ivan Cangini;0;Fulmini Verdi;Verde e Giallo;Lampi Verdi
110252;Cesare Comincini;0;Aquile Reali;Blu e Oro;Reali del Cielo
110253;Rosetta Enza De Feo;0;Fulmini Verdi;Verde e Giallo;Lampi Verdi
110254;Domenico Mazzaracchio;0;Dragoni Rossi;Rosso e Nero;Fiamme Rosse
110255;Bachisio Silvio Pasetto;0;Elefanti Grigi;Nero e Bianco;Elefanti Titanici
110256;Gianrico Agogliati;0;Rinoceronti Blu;Verde e Argento;Rino Blu
110257;Rossella Napoli;0;Fulmini Verdi;Verde e Giallo;Lampi Verdi
110258;Agazio Patriarca;0;Pantere Rosa;Rosa e Grigio;Pantere Fiere
110259;Vincenzo Maria Versace;0;Leoni Dorati;Giallo e Nero;Leoni Ruggenti
110260;Giuseppe Luigi Salvatore Maninetti;0;Pavoni Reali;Oro e Viola;Ali Reali
110261;Esteban Juan Bobbio;0;Tigri Nere;Nero e Arancione;Tigri Infuocate
110262;Julia Massucco;0;Gatti Neri;Nero e Viola;
110263;Vladimiro Caridi;0;Pinguini Polari;Bianco e Nero;
110264;Vittorio Latorre;0;Camaleonti Arcobaleno;Blu e Verde;Camaleonti Magici
110265;Walter Patriarca;0;Volpi del Bosco;Blu e Rosso;Volpi Veloci
110266;Irene Rotondo;0;Aquile Reali;Blu e Oro;Reali del Cielo
110267;Lara Rotelli;0;Cavalieri d'Argento;Argento e Blu;
110268;Marinella Parola;0;Falchi Grigi;Grigio e Nero;Falchi del Vento
110269;Ivo Capelli;0;Cinghiali Selvaggi;Marrone e Verde;Cinghiali Ruggenti
110270;Guido Walter Cesare Caridi;0;Cavalli Selvaggi;Rosso e Argento;Cavalieri Selvaggi
110271;Basilio Licastro Scardino;0;Squali Azzurri;Azzurro e Bianco;Predatori del Mare
110272;Susanna Lina Giulia Polito;0;Fulmini Verdi;Verde e Giallo;Lampi Verdi
110273;Peppe De Biasi;0;Delfini Argentati;Argento e Nero;Onde Argentate
110274;Margherita Ramponi;0;Aquile Blu;Blu e Bianco;Aquile Volanti
110275;Sandro Di Bartolomeo;0;Gufi Notturni;Viola e Grigio;Occhi nella Notte
110276;Sante Ternullo;0;Zebre Striate;Bianco e Rosso;Zebre Elettriche
110277;Fernando Casolati;0;Volpi del Bosco;Blu e Rosso;Volpi Veloci
110278;Gianmarco Pellicini;0;Cavalieri d'Argento;Argento e Blu;
110279;Stefano Casson;0;Pinguini Polari;Bianco e Nero;
110280;Helga Dini;0;Camaleonti Arcobaleno;Blu e Verde;Camaleonti Magici
110281;Sabrina Stancanelli;0;Elefanti Grigi;Nero e Bianco;Elefanti Titanici
110282;Silvio Montani;0;Orsi Polari;Bianco e Blu;
110283;Maria Fortuna Abate;0;Elefanti Grigi;Nero e Bianco;Elefanti Titanici
110284;Maria Rosaria Cario;0;Delfini Argentati;Argento e Nero;Onde Argentate
110285;Vittorio Iannuzzi;0;Zebre Striate;Bianco e Rosso;Zebre Elettriche
110286;Gianvittorio Rigo;0;Ippopotami Viola;Viola e Oro;
110287;Christian Lo Moro;0;Cinghiali Selvaggi;Marrone e Verde;Cinghiali Ruggenti
110288;Stelio Bressa;0;Delfini Argentati;Argento e Nero;Onde Argentate
110289;Doris Rubinato;0;Pantere Rosa;Rosa e Grigio;Pantere Fiere
110290;Alan Occhetto;0;Cavalieri d'Argento;Argento e Blu;
110291;Maria Celeste Rosa;0;Rinoceronti Blu;Verde e Argento;Rino Blu
110292;Guido Walter Cesare Santangelo;0;Dragoni Rossi;Rosso e Nero;Fiamme Rosse
110293;Linda Semenzato;0;Cavalieri d'Argento;Argento e Blu;
110294;Gino Manca;0;Volpi del Bosco;Blu e Rosso;Volpi Veloci
110295;Armando Saponara;0;Falchi Grigi;Grigio e Nero;Falchi del Vento
110296;Maria Uras;0;Aquile Reali;Blu e Oro;Reali del Cielo
110297;Alessandro Parente;0;Ippopotami Viola;Viola e Oro;
110298;Maria Rosaria Segre;0;Delfini Argentati;Argento e Nero;Onde Argentate
110299;Emilio Scibona;0;Cinghiali Selvaggi;Marrone e Verde;Cinghiali Ruggenti
110300;Pasqualino Lorenzo Bettini;0;Cavalli Selvaggi;Rosso e Argento;Cavalieri Selvaggi
110301;Corradino Vallone;0;Volpi del Bosco;Blu e Rosso;Volpi Veloci
110302;Lidia Morri;0;Scorpioni Rossi;Giallo e Verde;Scorpioni d'Acciaio
110303;Gian Carlo Pinza;0;Orsi Polari;Bianco e Blu;
110304;Alessandra Rotondi;0;Scorpioni Rossi;Giallo e Verde;Scorpioni d'Acciaio
110305;Arturo Mario Richetti;0;Gatti Neri;Nero e Viola;
110306;Achille Archiutti;0;Rinoceronti Blu;Verde e Argento;Rino Blu
110307;Marcello Colla;0;Lupi del Nord;Bianco e Grigio;Ululati del Nord
110308;Francesco Bonadonna;0;Fulmini Verdi;Verde e Giallo;Lampi Verdi
110309;Ferdinando De Luca;0;Falchi Grigi;Grigio e Nero;Falchi del Vento
110310;Mariano Fausti;0;Dragoni Rossi;Rosso e Nero;Fiamme Rosse
110311;Filadelfio Guido De Petris;0;Lupi del Nord;Bianco e Grigio;Ululati del Nord
110312;Giovanni Pietro Rivolta;0;Aquile Reali;Blu e Oro;Reali del Cielo
110313;Luisa Galardi;0;Cavalieri d'Argento;Argento e Blu;
110314;Simonetta Pianasso;0;Dragoni Rossi;Rosso e Nero;Fiamme Rosse
110315;Maria Grazia Ventucci;0;Cavalieri d'Argento;Argento e Blu;
110316;Angela Anna Bruna Vallardi;0;Pinguini Polari;Bianco e Nero;
110317;Gustavo Fallucchi;0;Fulmini Verdi;Verde e Giallo;Lampi Verdi
110318;Filippo Manconi;0;Volpi del Bosco;Blu e Rosso;Volpi Veloci
110319;Lello Rando;0;Dragoni Rossi;Rosso e Nero;Fiamme Rosse
110320;Vera Liliana Vicini;0;Volpi del Bosco;Blu e Rosso;Volpi Veloci
110321;Angela Anna Bruna Bruzzone;0;Orsi Polari;Bianco e Blu;
110322;Massimo Perilli;0;Gatti Neri;Nero e Viola;
110323;Maria Claudia Pellegatta;0;Fulmini Verdi;Verde e Giallo;Lampi Verdi
110324;Assuntela Donati;0;Pinguini Polari;Bianco e Nero;
110325;Lucia Betta;0;Scorpioni Rossi;Giallo e Verde;Scorpioni d'Acciaio
110326;Gianpietro Cusumano;0;Falchi Grigi;Grigio e Nero;Falchi del Vento
110327;Alessia Gubetti;0;Falchi Grigi;Grigio e Nero;Falchi del Vento
110328;Elidio Taverna;0;Zebre Striate;Bianco e Rosso;Zebre Elettriche
110329;Aldo Candura;0;Elefanti Grigi;Nero e Bianco;Elefanti Titanici
110330;Oskar Zanoni;0;Tigri Nere;Nero e Arancione;Tigri Infuocate
110331;Giorgio Garavaglia;0;Elefanti Grigi;Nero e Bianco;Elefanti Titanici
110332;Cristano Malvano;0;Scorpioni Rossi;Giallo e Verde;Scorpioni d'Acciaio
110333;Egidio Enrico Losurdo;0;Orsi Polari;Bianco e Blu;
110334;Marcello Tomaselli;0;Rinoceronti Blu;Verde e Argento;Rino Blu
110335;Benedetto Pesco;0;Squali Azzurri;Azzurro e Bianco;Predatori del Mare
110336;Licia De Gregorio;0;Squali Azzurri;Azzurro e Bianco;Predatori del Mare
110337;Giuliano Rognoni;0;Gufi Notturni;Viola e Grigio;Occhi nella Notte
110338;Leana Bonadonna;0;Falchi Grigi;Grigio e Nero;Falchi del Vento
110339;Annamaria Vetrella;0;Camaleonti Arcobaleno;Blu e Verde;Camaleonti Magici
110340;Gianpietro Zullo;0;Delfini Argentati;Argento e Nero;Onde Argentate
110341;Ida Maria Pellegatta;0;Volpi del Bosco;Blu e Rosso;Volpi Veloci
110342;Nicola Scanu;0;Gufi Notturni;Viola e Grigio;Occhi nella Notte
110343;Mino Volpi;0;Leoni Dorati;Giallo e Nero;Leoni Ruggenti
110344;Sara Mascioni;0;Pavoni Reali;Oro e Viola;Ali Reali
110345;Agostino Biasco;0;Aquile Reali;Blu e Oro;Reali del Cielo
110346;Donella Irto;0;Cavalieri d'Argento;Argento e Blu;
110347;Giampaolo Vittorio Elio Federici;0;Cavalieri d'Argento;Argento e Blu;
110348;Vilma Bucciarelli;0;Aquile Reali;Blu e Oro;Reali del Cielo
110349;Giannicola Michelini;0;Leoni Dorati;Giallo e Nero;Leoni Ruggenti
110350;Lionello Marco Favero;0;Aquile Blu;Blu e Bianco;Aquile Volanti
110351;Luis Alberto Spinelli;0;Aquile Blu;Blu e Bianco;Aquile Volanti
110352;Orfeo Ternullo;0;Gufi Notturni;Viola e Grigio;Occhi nella Notte
110353;Gianpiero Carlo D'amico;0;Serpenti Dorati;Oro e Rosso;Serpenti Dorati
110354;Egidio Luigi Nerozzi;0;Zebre Striate;Bianco e Rosso;Zebre Elettriche
110355;Giovanbattista Bocca;0;Zebre Striate;Bianco e Rosso;Zebre Elettriche
110356;Livio D'onghia;0;Fenici Rosse;Rosso e Arancione;Ali di Fuoco
110357;Gabriella Ghedini;0;Gufi Notturni;Viola e Grigio;Occhi nella Notte
110358;Maria Grazia Boscetto;0;Orsi Polari;Bianco e Blu;
110359;Valeria Fravezzi;0;Zebre Striate;Bianco e Rosso;Zebre Elettriche
110360;Elio Massimo Rizzi;0;Cavalieri d'Argento;Argento e Blu;
110361;Giuseppina Pedica;0;Serpenti Dorati;Oro e Rosso;Serpenti Dorati
110362;Lucio Alessio Bassanini;0;Aquile Blu;Blu e Bianco;Aquile Volanti
110363;Mirella Passigli;0;Leoni Dorati;Giallo e Nero;Leoni Ruggenti
110364;Giuseppe Tommaso Vincenzo Vigevani;0;Coccodrilli Verdi;Verde e Marrone;Coccodrilli d'Acciaio
110365;Accursio Verducci;0;Cavalieri d'Argento;Argento e Blu;
110366;Ester Modena;0;Leoni Dorati;Giallo e Nero;Leoni Ruggenti
110367;Ivana Tomaselli;0;Aquile Reali;Blu e Oro;Reali del Cielo
110368;Esteban Juan La Marca;0;Fenici Rosse;Rosso e Arancione;Ali di Fuoco
110369;Pasquale Cerno;0;Falchi Grigi;Grigio e Nero;Falchi del Vento
110370;Tilde Mazzuca Poggiolini;0;Cavalli Selvaggi;Rosso e Argento;Cavalieri Selvaggi
110371;Carmelo Zilio;0;Camaleonti Arcobaleno;Blu e Verde;Camaleonti Magici
110372;Costantino Perduca;0;Pinguini Polari;Bianco e Nero;
110373;Magda Angela Paragone;0;Lupi del Nord;Bianco e Grigio;Ululati del Nord
110374;Simona Nunzia Ronchi;0;Dragoni Rossi;Rosso e Nero;Fiamme Rosse
110375;Gianrico Carpinelli;0;Orsi Polari;Bianco e Blu;
110376;Assuntela Mascitelli;0;Gatti Neri;Nero e Viola;
110377;Gianmarco Corti;0;Serpenti Dorati;Oro e Rosso;Serpenti Dorati
110378;Marta Longhi;0;Coccodrilli Verdi;Verde e Marrone;Coccodrilli d'Acciaio
110379;Giorgio Cassano;0;Ippopotami Viola;Viola e Oro;
110380;Maria Giuseppa Saviane;0;Aquile Blu;Blu e Bianco;Aquile Volanti
110381;Maria Claudia Manfredi;0;Cinghiali Selvaggi;Marrone e Verde;Cinghiali Ruggenti
110382;Luis Alberto Craxi;0;Dragoni Rossi;Rosso e Nero;Fiamme Rosse
110383;Tomaso Bobbio;0;Cavalieri d'Argento;Argento e Blu;
110384;Egidio Rastrelli;0;Zebre Striate;Bianco e Rosso;Zebre Elettriche
110385;Andrea Brignone;0;Cinghiali Selvaggi;Marrone e Verde;Cinghiali Ruggenti
110386;Giuseppe Tommaso Vincenzo Sironi;0;Cinghiali Selvaggi;Marrone e Verde;Cinghiali Ruggenti
110387;Furio Lenna;0;Tigri Nere;Nero e Arancione;Tigri Infuocate
110388;Cristiano Pertoldi;0;Corvi della Tempesta;Grigio e Blu;Tempesta Oscura
110389;Ortensio Romano;0;Gufi Notturni;Viola e Grigio;Occhi nella Notte
110390;Ester De Lucia;0;Aquile Reali;Blu e Oro;Reali del Cielo
110391;Renato Donise;0;Leoni Dorati;Giallo e Nero;Leoni Ruggenti
110392;Baldassare Cosenza;0;Fulmini Verdi;Verde e Giallo;Lampi Verdi
110393;Tullio Turci;0;Cavalli Selvaggi;Rosso e Argento;Cavalieri Selvaggi
110394;Alberto Felice Simone Ruta;0;Delfini Argentati;Argento e Nero;Onde Argentate
110395;Ferdinando Lenna;0;Dragoni Rossi;Rosso e Nero;Fiamme Rosse
110396;Umberto Murineddu;0;Fulmini Verdi;Verde e Giallo;Lampi Verdi
110397;Felice Ceruti;0;Corvi della Tempesta;Grigio e Blu;Tempesta Oscura
110398;Domenica Andreotti;0;Cinghiali Selvaggi;Marrone e Verde;Cinghiali Ruggenti
110399;Gustavo Budin;0;Gufi Notturni;Viola e Grigio;Occhi nella Notte
110400;Tancredi Basini;0;Aquile Reali;Blu e Oro;Reali del Cielo
110401;Elia Pittelli;0;Orsi Polari;Bianco e Blu;
110402;Simona Flavia Perosino;0;Gatti Neri;Nero e Viola;
110403;Rossana Giovanardi;0;Squali Azzurri;Azzurro e Bianco;Predatori del Mare
110404;Maria Alessandra Pardini;0;Zebre Striate;Bianco e Rosso;Zebre Elettriche
110405;Romualdo Vittorio Bertuzzi;0;Cinghiali Selvaggi;Marrone e Verde;Cinghiali Ruggenti
110406;Pippo Morelli;0;Gatti Neri;Nero e Viola;
110407;Giovanbattista Tonini;0;Fulmini Verdi;Verde e Giallo;Lampi Verdi
110408;Raoul Pegorer;0;Gatti Neri;Nero e Viola;
110409;Lorenzo D'elia;0;Fulmini Verdi;Verde e Giallo;Lampi Verdi
110410;Luciana Guerzoni;0;Fenici Rosse;Rosso e Arancione;Ali di Fuoco
