125147;Gregorio Salvi;0;Gufi Notturni;Viola e Grigio;Occhi nella Notte
125148;Raffaella Fiormaria Spilabotte;0;Coccodrilli Verdi;Verde e Marrone;Coccodrilli d'Acciaio
125149;Francesco Tabladini;0;Pantere Rosa;Rosa e Grigio;Pantere Fiere
125150;Michaela Piccinelli;0;Aquile Blu;Blu e Bianco;Aquile Volanti
125151;Elia Tarolli;0;Pinguini Polari;Bianco e Nero;
125152;Adele Candiani;0;Tigri Nere;Nero e Arancione;Tigri Infuocate
125153;Gustavo De Carlo;0;Falchi Grigi;Grigio e Nero;Falchi del Vento
125154;Rosaria Zanettin;0;Cavalli Selvaggi;Rosso e Argento;Cavalieri Selvaggi
125155;Beatrice Pera;0;Volpi del Bosco;Blu e Rosso;Volpi Veloci
125156;Silvia Del Barba;0;Cavalieri d'Argento;Argento e Blu;
125157;Raffaele Albano;0;Aquile Blu;Blu e Bianco;Aquile Volanti
125158;Euprepio Cherchi;0;Rinoceronti Blu;Verde e Argento;Rino Blu
125159;Guido Cesare Modena;0;Dragoni Rossi;Rosso e Nero;Fiamme Rosse
125160;Giovanni Vittorio Bucciero;0;Pantere Rosa;Rosa e Grigio;Pantere Fiere
125161;Maria Giuseppa Papini;0;Scorpioni Rossi;Giallo e Verde;Scorpioni d'Acciaio
125162;Grazia Pardi;0;Cinghiali Selvaggi;Marrone e Verde;Cinghiali Ruggenti
125163;Aleandro Jacchia;0;Leoni Dorati;Giallo e Nero;Leoni Ruggenti
125164;Vincenza Silvestri;0;Corvi della Tempesta;Grigio e Blu;Tempesta Oscura
125165;Maria Chiara Renzi;0;Aquile Blu;Blu e Bianco;Aquile Volanti
125166;Gaspare Antonio Cossutta;0;Pavoni Reali;Oro e Viola;Ali Reali
125167;Francesco Antonio Martini;0;Orsi Polari;Bianco e Blu;
125168;Achille Matrisciano;0;Aquile Reali;Blu e Oro;Reali del Cielo
125169;Corradino Mineo;0;Aquile Blu;Blu e Bianco;Aquile Volanti
125170;Euprepio Calderoli;0;Gufi Notturni;Viola e Grigio;Occhi nella Notte
125171;Mauro Pisanu;0;Volpi del Bosco;Blu e Rosso;Volpi Veloci
125172;Ivan Rojc;0;Scorpioni Rossi;Giallo e Verde;Scorpioni d'Acciaio
125173;Luigi Franceschelli;0;Leoni Dorati;Giallo e Nero;Leoni Ruggenti
125174;Filomeno Biagio Capelli;0;Tigri Nere;Nero e Arancione;Tigri Infuocate
125175;Ludovico Bonfrisco;0;Zebre Striate;Bianco e Rosso;Zebre Elettriche
125176;Giulio Mario Binetti;0;Dragoni Rossi;Rosso e Nero;Fiamme Rosse
125177;Felicia Berlusconi;0;Pavoni Reali;Oro e Viola;Ali Reali
125178;Gianpiero Carlo Colucci;0;Scorpioni Rossi;Giallo e Verde;Scorpioni d'Acciaio
125179;Filomeno Biagio Dondeynaz;0;Leoni Dorati;Giallo e Nero;Leoni Ruggenti
125180;William Gallicchio;0;Camaleonti Arcobaleno;Blu e Verde;Camaleonti Magici
125181;Vanna Dentamaro;0;Pavoni Reali;Oro e Viola;Ali Reali
125182;Guido Quintino Causin;0;Serpenti Dorati;Oro e Rosso;Serpenti Dorati
125183;Lido Corti;0;Scorpioni Rossi;Giallo e Verde;Scorpioni d'Acciaio
125184;Patty Pionati;0;Gatti Neri;Nero e Viola;
125185;Valentino Spinello;0;Coccodrilli Verdi;Verde e Marrone;Coccodrilli d'Acciaio
125186;Gianvittore Polidoro;0;Gufi Notturni;Viola e Grigio;Occhi nella Notte
125187;Michele Arcangelo Nugnes;0;Camaleonti Arcobaleno;Blu e Verde;Camaleonti Magici
125188;Bruno Favero;0;Camaleonti Arcobaleno;Blu e Verde;Camaleonti Magici
125189;Carlo Scarpinato;0;Lupi del Nord;Bianco e Grigio;Ululati del Nord
125190;Mino Semenzato;0;Falchi Grigi;Grigio e Nero;Falchi del Vento
125191;Dieter Paganella;0;Serpenti Dorati;Oro e Rosso;Serpenti Dorati
125192;Jonny Marinaro;0;Coccodrilli Verdi;Verde e Marrone;Coccodrilli d'Acciaio
125193;Anna Di Lello Finuoli;0;Cavalli Selvaggi;Rosso e Argento;Cavalieri Selvaggi
125194;Fulvia Michela Avogadro;0;Gatti Neri;Nero e Viola;
125195;Adelaide Di Giacomo;0;Serpenti Dorati;Oro e Rosso;Serpenti Dorati
125196;Vito Claudio Silvestri;0;Scorpioni Rossi;Giallo e Verde;Scorpioni d'Acciaio
125197;Francesco Maria Valpiana;0;Leoni Dorati;Giallo e Nero;Leoni Ruggenti
125198;Edoardo Tiraboschi;0;Pantere Rosa;Rosa e Grigio;Pantere Fiere
125199;Agnese Piredda;0;Aquile Reali;Blu e Oro;Reali del Cielo
125200;Giuseppina Scopelliti;0;Tigri Nere;Nero e Arancione;Tigri Infuocate
125201;Mariano La Mura;0;Rinoceronti Blu;Verde e Argento;Rino Blu
125202;Alessia Bo;0;Camaleonti Arcobaleno;Blu e Verde;Camaleonti Magici
125203;Orietta Bilotti;0;Cavalieri d'Argento;Argento e Blu;
125204;Peppe Messina;0;Falchi Grigi;Grigio e Nero;Falchi del Vento
125205;Felice Carlo Salvitti;0;Leoni Dorati;Giallo e Nero;Leoni Ruggenti
125206;Gianvittore Firrarello;0;Fulmini Verdi;Verde e Giallo;Lampi Verdi
125207;Urania Giulia Rosina Turroni;0;Corvi della Tempesta;Grigio e Blu;Tempesta Oscura
125208;Luigi Napoli;0;Corvi della Tempesta;Grigio e Blu;Tempesta Oscura
125209;Lucrezia Gaggio Giuliani;0;Coccodrilli Verdi;Verde e Marrone;Coccodrilli d'Acciaio
125210;Lorenzo Emilio Brisca Menapace;0;Pantere Rosa;Rosa e Grigio;Pantere Fiere
125211;Emanuele Passoni;0;Serpenti Dorati;Oro e Rosso;Serpenti Dorati
125212;Demetrio Zappacosta;0;Elefanti Grigi;Nero e Bianco;Elefanti Titanici
125213;Leonzio Sironi;0;Cavalli Selvaggi;Rosso e Argento;Cavalieri Selvaggi
125214;Rina Cortelloni;0;Coccodrilli Verdi;Verde e Marrone;Coccodrilli d'Acciaio
125215;Donato Tommaso Verducci;0;Cinghiali Selvaggi;Marrone e Verde;Cinghiali Ruggenti
125216;Cinzia Maria Granato;0;Pinguini Polari;Bianco e Nero;
125217;Meinhard Colla;0;Lupi del Nord;Bianco e Grigio;Ululati del Nord
125218;Lavinia Versace;0;Zebre Striate;Bianco e Rosso;Zebre Elettriche
125219;Mario Alejandro Pollastri;0;Squali Azzurri;Azzurro e Bianco;Predatori del Mare
125220;Elvio Rebuzzi;0;Ippopotami Viola;Viola e Oro;
125221;Erica Cantu';0;Serpenti Dorati;Oro e Rosso;Serpenti Dorati
125222;Arnaldo Santillo;0;Elefanti Grigi;Nero e Bianco;Elefanti Titanici
125223;Diana Storace;0;Aquile Reali;Blu e Oro;Reali del Cielo
125224;Angela Anna Bruna Labellarte;0;Cinghiali Selvaggi;Marrone e Verde;Cinghiali Ruggenti
125225;Rossella Mascitelli;0;Cinghiali Selvaggi;Marrone e Verde;Cinghiali Ruggenti
125226;Severino Petrocelli;0;Ippopotami Viola;Viola e Oro;
125227;Domenica Tredese;0;Cavalli Selvaggi;Rosso e Argento;Cavalieri Selvaggi
125228;Tony Chike Bertorotta;0;Orsi Polari;Bianco e Blu;
125229;Santo De Siano;0;Cavalieri d'Argento;Argento e Blu;
125230;Gianmarco Morri;0;Zebre Striate;Bianco e Rosso;Zebre Elettriche
125231;Michelina Bedin;0;Gufi Notturni;Viola e Grigio;Occhi nella Notte
125232;Daisy Sodano;0;Squali Azzurri;Azzurro e Bianco;Predatori del Mare
125233;Mauro Maria Adamo;0;Coccodrilli Verdi;Verde e Marrone;Coccodrilli d'Acciaio
125234;Stefania Gabriella Anastasia Montagna;0;Lupi del Nord;Bianco e Grigio;Ululati del Nord
125235;Simona Flavia Scurria;0;Falchi Grigi;Grigio e Nero;Falchi del Vento
125236;Felice Carlo Dolazza;0;Aquile Blu;Blu e Bianco;Aquile Volanti
125237;Nicodemo Francesco Bellini;0;Rinoceronti Blu;Verde e Argento;Rino Blu
125238;Emanuele Minasi;0;Coccodrilli Verdi;Verde e Marrone;Coccodrilli d'Acciaio
125239;Altero Michelini;0;Rinoceronti Blu;Verde e Argento;Rino Blu
125240;Patty Larizza;0;Ippopotami Viola;Viola e Oro;
125241;Mariarosaria Galan;0;Cinghiali Selvaggi;Marrone e Verde;Cinghiali Ruggenti
125242;Alberto Adalgisio Mirabelli;0;Fulmini Verdi;Verde e Giallo;Lampi Verdi
125243;Dolores Wilde;0;Dragoni Rossi;Rosso e Nero;Fiamme Rosse
125244;Giorgio Misserville;0;Cavalieri d'Argento;Argento e Blu;
125245;Massimiliano Spilabotte;0;Falchi Grigi;Grigio e Nero;Falchi del Vento
125246;Ombretta Maria Serena;0;Gufi Notturni;Viola e Grigio;Occhi nella Notte
125247;Gian Piero Verducci;0;Falchi Grigi;Grigio e Nero;Falchi del Vento
125248;Mariapia Fazzone;0;Cavalieri d'Argento;Argento e Blu;
125249;Patty Migliavacca;0;Elefanti Grigi;Nero e Bianco;Elefanti Titanici
125250;Alessandra Polito;0;Falchi Grigi;Grigio e Nero;Falchi del Vento
125251;Ivan Cangini;0;Fulmini Verdi;Verde e Giallo;Lampi Verdi
125252;Cesare Comincini;0;Aquile Reali;Blu e Oro;Reali del Cielo
125253;Rosetta Enza De Feo;0;Fulmini Verdi;Verde e Giallo;Lampi Verdi
125254;Domenico Mazzaracchio;0;Dragoni Rossi;Rosso e Nero;Fiamme Rosse
125255;Bachisio Silvio Pasetto;0;Elefanti Grigi;Nero e Bianco;Elefanti Titanici
125256;Gianrico Agogliati;0;Rinoceronti Blu;Verde e Argento;Rino Blu
125257;Rossella Napoli;0;Fulmini Verdi;Verde e Giallo;Lampi Verdi
125258;Agazio Patriarca;0;Pantere Rosa;Rosa e Grigio;Pantere Fiere
125259;Vincenzo Maria Versace;0;Leoni Dorati;Giallo e Nero;Leoni Ruggenti
125260;Giuseppe Luigi Salvatore Maninetti;0;Pavoni Reali;Oro e Viola;Ali Reali
125261;Esteban Juan Bobbio;0;Tigri Nere;Nero e Arancione;Tigri Infuocate
125262;Julia Massucco;0;Gatti Neri;Nero e Viola;
125263;Vladimiro Caridi;0;Pinguini Polari;Bianco e Nero;
125264;Vittorio Latorre;0;Camaleonti Arcobaleno;Blu e Verde;Camaleonti Magici
125265;Walter Patriarca;0;Volpi del Bosco;Blu e Rosso;Volpi Veloci
125266;Irene Rotondo;0;Aquile Reali;Blu e Oro;Reali del Cielo
125267;Lara Rotelli;0;Cavalieri d'Argento;Argento e Blu;
125268;Marinella Parola;0;Falchi Grigi;Grigio e Nero;Falchi del Vento
125269;Ivo Capelli;0;Cinghiali Selvaggi;Marrone e Verde;Cinghiali Ruggenti
125270;Guido Walter Cesare Caridi;0;Cavalli Selvaggi;Rosso e Argento;Cavalieri Selvaggi
125271;Basilio Licastro Scardino;0;Squali Azzurri;Azzurro e Bianco;Predatori del Mare
125272;Susanna Lina Giulia Polito;0;Fulmini Verdi;Verde e Giallo;Lampi Verdi
125273;Peppe De Biasi;0;Delfini Argentati;Argento e Nero;Onde Argentate
125274;Margherita Ramponi;0;Aquile Blu;Blu e Bianco;Aquile Volanti
125275;Sandro Di Bartolomeo;0;Gufi Notturni;Viola e Grigio;Occhi nella Notte
125276;Sante Ternullo;0;Zebre Striate;Bianco e Rosso;Zebre Elettriche
125277;Fernando Casolati;0;Volpi del Bosco;Blu e Rosso;Volpi Veloci
125278;Gianmarco Pellicini;0;Cavalieri d'Argento;Argento e Blu;
125279;Stefano Casson;0;Pinguini Polari;Bianco e Nero;
125280;Helga Dini;0;Camaleonti Arcobaleno;Blu e Verde;Camaleonti Magici
125281;Sabrina Stancanelli;0;Elefanti Grigi;Nero e Bianco;Elefanti Titanici
125282;Silvio Montani;0;Orsi Polari;Bianco e Blu;
125283;Maria Fortuna Abate;0;Elefanti Grigi;Nero e Bianco;Elefanti Titanici
125284;Maria Rosaria Cario;0;Delfini Argentati;Argento e Nero;Onde Argentate
125285;Vittorio Iannuzzi;0;Zebre Striate;Bianco e Rosso;Zebre Elettriche
125286;Gianvittorio Rigo;0;Ippopotami Viola;Viola e Oro;
125287;Christian Lo Moro;0;Cinghiali Selvaggi;Marrone e Verde;Cinghiali Ruggenti
125288;Stelio Bressa;0;Delfini Argentati;Argento e Nero;Onde Argentate
125289;Doris Rubinato;0;Pantere Rosa;Rosa e Grigio;Pantere Fiere
125290;Alan Occhetto;0;Cavalieri d'Argento;Argento e Blu;
125291;Maria Celeste Rosa;0;Rinoceronti Blu;Verde e Argento;Rino Blu
125292;Guido Walter Cesare Santangelo;0;Dragoni Rossi;Rosso e Nero;Fiamme Rosse
125293;Linda Semenzato;0;Cavalieri d'Argento;Argento e Blu;
125294;Gino Manca;0;Volpi del Bosco;Blu e Rosso;Volpi Veloci
125295;Armando Saponara;0;Falchi Grigi;Grigio e Nero;Falchi del Vento
125296;Maria Uras;0;Aquile Reali;Blu e Oro;Reali del Cielo
125297;Alessandro Parente;0;Ippopotami Viola;Viola e Oro;
125298;Maria Rosaria Segre;0;Delfini Argentati;Argento e Nero;Onde Argentate
125299;Emilio Scibona;0;Cinghiali Selvaggi;Marrone e Verde;Cinghiali Ruggenti
125300;Pasqualino Lorenzo Bettini;0;Cavalli Selvaggi;Rosso e Argento;Cavalieri Selvaggi
125301;Corradino Vallone;0;Volpi del Bosco;Blu e Rosso;Volpi Veloci
125302;Lidia Morri;0;Scorpioni Rossi;Giallo e Verde;Scorpioni d'Acciaio
125303;Gian Carlo Pinza;0;Orsi Polari;Bianco e Blu;
125304;Alessandra Rotondi;0;Scorpioni Rossi;Giallo e Verde;Scorpioni d'Acciaio
125305;Arturo Mario Richetti;0;Gatti Neri;Nero e Viola;
125306;Achille Archiutti;0;Rinoceronti Blu;Verde e Argento;Rino Blu
125307;Marcello Colla;0;Lupi del Nord;Bianco e Grigio;Ululati del Nord
125308;Francesco Bonadonna;0;Fulmini Verdi;Verde e Giallo;Lampi Verdi
125309;Ferdinando De Luca;0;Falchi Grigi;Grigio e Nero;Falchi del Vento
125310;Mariano Fausti;0;Dragoni Rossi;Rosso e Nero;Fiamme Rosse
125311;Filadelfio Guido De Petris;0;Lupi del Nord;Bianco e Grigio;Ululati del Nord
125312;Giovanni Pietro Rivolta;0;Aquile Reali;Blu e Oro;Reali del Cielo
125313;Luisa Galardi;0;Cavalieri d'Argento;Argento e Blu;
125314;Simonetta Pianasso;0;Dragoni Rossi;Rosso e Nero;Fiamme Rosse
125315;Maria Grazia Ventucci;0;Cavalieri d'Argento;Argento e Blu;
125316;Angela Anna Bruna Vallardi;0;Pinguini Polari;Bianco e Nero;
125317;Gustavo Fallucchi;0;Fulmini Verdi;Verde e Giallo;Lampi Verdi
125318;Filippo Manconi;0;Volpi del Bosco;Blu e Rosso;Volpi Veloci
125319;Lello Rando;0;Dragoni Rossi;Rosso e Nero;Fiamme Rosse
125320;Vera Liliana Vicini;0;Volpi del Bosco;Blu e Rosso;Volpi Veloci
125321;Angela Anna Bruna Bruzzone;0;Orsi Polari;Bianco e Blu;
125322;Massimo Perilli;0;Gatti Neri;Nero e Viola;
125323;Maria Claudia Pellegatta;0;Fulmini Verdi;Verde e Giallo;Lampi Verdi
125324;Assuntela Donati;0;Pinguini Polari;Bianco e Nero;
125325;Lucia Betta;0;Scorpioni Rossi;Giallo e Verde;Scorpioni d'Acciaio
125326;Gianpietro Cusumano;0;Falchi Grigi;Grigio e Nero;Falchi del Vento
125327;Alessia Gubetti;0;Falchi Grigi;Grigio e Nero;Falchi del Vento
125328;Elidio Taverna;0;Zebre Striate;Bianco e Rosso;Zebre Elettriche
125329;Aldo Candura;0;Elefanti Grigi;Nero e Bianco;Elefanti Titanici
125330;Oskar Zanoni;0;Tigri Nere;Nero e Arancione;Tigri Infuocate
125331;Giorgio Garavaglia;0;Elefanti Grigi;Nero e Bianco;Elefanti Titanici
125332;Cristano Malvano;0;Scorpioni Rossi;Giallo e Verde;Scorpioni d'Acciaio
125333;Egidio Enrico Losurdo;0;Orsi Polari;Bianco e Blu;
125334;Marcello Tomaselli;0;Rinoceronti Blu;Verde e Argento;Rino Blu
125335;Benedetto Pesco;0;Squali Azzurri;Azzurro e Bianco;Predatori del Mare
125336;Licia De Gregorio;0;Squali Azzurri;Azzurro e Bianco;Predatori del Mare
125337;Giuliano Rognoni;0;Gufi Notturni;Viola e Grigio;Occhi nella Notte
125338;Leana Bonadonna;0;Falchi Grigi;Grigio e Nero;Falchi del Vento
125339;Annamaria Vetrella;0;Camaleonti Arcobaleno;Blu e Verde;Camaleonti Magici
125340;Gianpietro Zullo;0;Delfini Argentati;Argento e Nero;Onde Argentate
125341;Ida Maria Pellegatta;0;Volpi del Bosco;Blu e Rosso;Volpi Veloci
125342;Nicola Scanu;0;Gufi Notturni;Viola e Grigio;Occhi nella Notte
125343;Mino Volpi;0;Leoni Dorati;Giallo e Nero;Leoni Ruggenti
125344;Sara Mascioni;0;Pavoni Reali;Oro e Viola;Ali Reali
125345;Agostino Biasco;0;Aquile Reali;Blu e Oro;Reali del Cielo
125346;Donella Irto;0;Cavalieri d'Argento;Argento e Blu;
125347;Giampaolo Vittorio Elio Federici;0;Cavalieri d'Argento;Argento e Blu;
125348;Vilma Bucciarelli;0;Aquile Reali;Blu e Oro;Reali del Cielo
125349;Giannicola Michelini;0;Leoni Dorati;Giallo e Nero;Leoni Ruggenti
125350;Lionello Marco Favero;0;Aquile Blu;Blu e Bianco;Aquile Volanti
125351;Luis Alberto Spinelli;0;Aquile Blu;Blu e Bianco;Aquile Volanti
125352;Orfeo Ternullo;0;Gufi Notturni;Viola e Grigio;Occhi nella Notte
125353;Gianpiero Carlo D'amico;0;Serpenti Dorati;Oro e Rosso;Serpenti Dorati
125354;Egidio Luigi Nerozzi;0;Zebre Striate;Bianco e Rosso;Zebre Elettriche
125355;Giovanbattista Bocca;0;Zebre Striate;Bianco e Rosso;Zebre Elettriche
125356;Livio D'onghia;0;Fenici Rosse;Rosso e Arancione;Ali di Fuoco
125357;Gabriella Ghedini;0;Gufi Notturni;Viola e Grigio;Occhi nella Notte
125358;Maria Grazia Boscetto;0;Orsi Polari;Bianco e Blu;
125359;Valeria Fravezzi;0;Zebre Striate;Bianco e Rosso;Zebre Elettriche
125360;Elio Massimo Rizzi;0;Cavalieri d'Argento;Argento e Blu;
125361;Giuseppina Pedica;0;Serpenti Dorati;Oro e Rosso;Serpenti Dorati
125362;Lucio Alessio Bassanini;0;Aquile Blu;Blu e Bianco;Aquile Volanti
125363;Mirella Passigli;0;Leoni Dorati;Giallo e Nero;Leoni Ruggenti
125364;Giuseppe Tommaso Vincenzo Vigevani;0;Coccodrilli Verdi;Verde e Marrone;Coccodrilli d'Acciaio
125365;Accursio Verducci;0;Cavalieri d'Argento;Argento e Blu;
125366;Ester Modena;0;Leoni Dorati;Giallo e Nero;Leoni Ruggenti
125367;Ivana Tomaselli;0;Aquile Reali;Blu e Oro;Reali del Cielo
125368;Esteban Juan La Marca;0;Fenici Rosse;Rosso e Arancione;Ali di Fuoco
125369;Pasquale Cerno;0;Falchi Grigi;Grigio e Nero;Falchi del Vento
125370;Tilde Mazzuca Poggiolini;0;Cavalli Selvaggi;Rosso e Argento;Cavalieri Selvaggi
125371;Carmelo Zilio;0;Camaleonti Arcobaleno;Blu e Verde;Camaleonti Magici
125372;Costantino Perduca;0;Pinguini Polari;Bianco e Nero;
125373;Magda Angela Paragone;0;Lupi del Nord;Bianco e Grigio;Ululati del Nord
125374;Simona Nunzia Ronchi;0;Dragoni Rossi;Rosso e Nero;Fiamme Rosse
125375;Gianrico Carpinelli;0;Orsi Polari;Bianco e Blu;
125376;Assuntela Mascitelli;0;Gatti Neri;Nero e Viola;
125377;Gianmarco Corti;0;Serpenti Dorati;Oro e Rosso;Serpenti Dorati
125378;Marta Longhi;0;Coccodrilli Verdi;Verde e Marrone;Coccodrilli d'Acciaio
125379;Giorgio Cassano;0;Ippopotami Viola;Viola e Oro;
125380;Maria Giuseppa Saviane;0;Aquile Blu;Blu e Bianco;Aquile Volanti
125381;Maria Claudia Manfredi;0;Cinghiali Selvaggi;Marrone e Verde;Cinghiali Ruggenti
125382;Luis Alberto Craxi;0;Dragoni Rossi;Rosso e Nero;Fiamme Rosse
125383;Tomaso Bobbio;0;Cavalieri d'Argento;Argento e Blu;
125384;Egidio Rastrelli;0;Zebre Striate;Bianco e Rosso;Zebre Elettriche
125385;Andrea Brignone;0;Cinghiali Selvaggi;Marrone e Verde;Cinghiali Ruggenti
125386;Giuseppe Tommaso Vincenzo Sironi;0;Cinghiali Selvaggi;Marrone e Verde;Cinghiali Ruggenti
125387;Furio Lenna;0;Tigri Nere;Nero e Arancione;Tigri Infuocate
125388;Cristiano Pertoldi;0;Corvi della Tempesta;Grigio e Blu;Tempesta Oscura
125389;Ortensio Romano;0;Gufi Notturni;Viola e Grigio;Occhi nella Notte
125390;Ester De Lucia;0;Aquile Reali;Blu e Oro;Reali del Cielo
125391;Renato Donise;0;Leoni Dorati;Giallo e Nero;Leoni Ruggenti
125392;Baldassare Cosenza;0;Fulmini Verdi;Verde e Giallo;Lampi Verdi
125393;Tullio Turci;0;Cavalli Selvaggi;Rosso e Argento;Cavalieri Selvaggi
125394;Alberto Felice Simone Ruta;0;Delfini Argentati;Argento e Nero;Onde Argentate
125395;Ferdinando Lenna;0;Dragoni Rossi;Rosso e Nero;Fiamme Rosse
125396;Umberto Murineddu;0;Fulmini Verdi;Verde e Giallo;Lampi Verdi
125397;Felice Ceruti;0;Corvi della Tempesta;Grigio e Blu;Tempesta Oscura
125398;Domenica Andreotti;0;Cinghiali Selvaggi;Marrone e Verde;Cinghiali Ruggenti
125399;Gustavo Budin;0;Gufi Notturni;Viola e Grigio;Occhi nella Notte
125400;Tancredi Basini;0;Aquile Reali;Blu e Oro;Reali del Cielo
125401;Elia Pittelli;0;Orsi Polari;Bianco e Blu;
125402;Simona Flavia Perosino;0;Gatti Neri;Nero e Viola;
125403;Rossana Giovanardi;0;Squali Azzurri;Azzurro e Bianco;Predatori del Mare
125404;Maria Alessandra Pardini;0;Zebre Striate;Bianco e Rosso;Zebre Elettriche
125405;Romualdo Vittorio Bertuzzi;0;Cinghiali Selvaggi;Marrone e Verde;Cinghiali Ruggenti
125406;Pippo Morelli;0;Gatti Neri;Nero e Viola;
125407;Giovanbattista Tonini;0;Fulmini Verdi;Verde e Giallo;Lampi Verdi
125408;Raoul Pegorer;0;Gatti Neri;Nero e Viola;
125409;Lorenzo D'elia;0;Fulmini Verdi;Verde e Giallo;Lampi Verdi
125410;Luciana Guerzoni;0;Fenici Rosse;Rosso e Arancione;Ali di Fuoco
